,게시글 ID,작성일,작성자,제목,본문
10,333619,2020.12.31. 10:32,치킨이당,어제 람스했어요! hpl주사보다 안아프네요😂 자세한 후기 올려봐요^^,"어제 드디어 허벅지 허안+승마 무한람스를 받고왔습니다!몇주동안 준비하며 긴장도 많이하고 아플까봐 걱정도 했는데, 시술 시작하고나니 괜한 걱정이였다 싶더라구요.어제 병원에서의 일정은옷갈아입기 - 몸무게체크 - 시술동의서(자가운전x 등) - 람스센터 입실 - 시술담당선생님 주의사항 영상으로 시청 - 디자인 후 동의서싸인(임신x 등) - 화장실(선택) - 항생제주사, 진통제주사 - 소독 - 피부마취 후 주사 넣어서 용액주입 - 지방추출 - 부위별 보틀수 확인 - 몸에 남은 용액짜내기 - 스팀타올로 닦기 - 후처치 - 한번더 전체 보틀수확인 - 오렌지쥬스마시기 - 목표체중듣고 람스후주의사항 종이받고 설명듣기 - 후관리예약 - 레이저 - 혈압재기 - 붕대감기 - 옷갈아입기 - 예약금외 잔금결제생각나는대로 써보면 이렇네요.여기서 예방접종보다 큰 아픔 느낄만한게 용액주입 뿐이였고, 이때도 마취가 금방돼서 그런지 피부속 지방들이 끊어지는 느낌이 나면서 약물 퍼지는거 뿐이였어요.  의사샘께서 약물들어가는 위치들 손으로 두드려주셔서 큰아픔 느낀건 없어요ㅎㅎ 진짜 2주동안 괜한걱정 한것같아요. 간혹 소리지르는분도 있으시다던데, 저는 몸에 힘 들어간적도 없을만큼 편안하게 누워서 다리빵빵해지는 느낌만 어색해하고있었네요. 예전에 일반시술인 hpl시술 받을땐, 주사 꽂을때부터 소리질렀던 기억은 있어요ㅎㅎㅎ 람스가 훨씬나아요!!!지방도 피없이 깔끔하게 나온다고 기본사이즈 예상(10보틀정도) 다 10보틀 더 뽑아주셨네요; ㅎㅎㅎ 의사쌤이 기존에 준비된 보틀 열몇개 다 쓰시고 간호사쌤한테 보틀 추가 요청하셨는데 좋으면서도 부끄러운 이느낌... 연휴맞춰서 휴가 이틀 내서 쭉 쉬도록 일정잡아놨는데 굳이 안이래도 될것같아요. 하루지났는데도 너무나도 멀쩡하네요ㅋㅋ 자세 바꿀때는 조금 불편한데, 포풍 스쿼트했을때의 근육통보다는 덜아파요 움직이기도 더 수월하구요!  하루밖에 안지나서 아직 제대로된 고통을 못느껴서 이렇게 생각할수도 있겠지요?ㅎㅎ그동안 람스 무서워서 hpl이나 냉동같은 일반시술만 받아왔는데.. 진작할걸 그랬어요ㅠㅠ 람스가 hpl보다 훠어어어어어얼씬 덜아팠거든요...!!앞으로 체중감량도 열심히하고 후관리도 꾸준히 받아서 날씬이가 되겠어욥!! 미리 준비도 엄청 열심히 해놔서 이제 실천만 하면 된답니당!준비한거도 알려드릴게요!- 붓기,멍 3종세트 (배노신,트립라인,브루나) : 전 이거 셋다 성분은 같고 이름은 다른 제품으로 구매했네요ㅎㅎ- 방수밴드- 타이레놀- 고주파 2달 대여 : 지흡은 실밥풀고부터 가능하던데, 람스는 절개를 안해서 그런지 바로 가능하다고 하셨어요- 압박복 : 피 거의없이 지방만 뽑혀서 회복하는데 크게 도움되진 않을거라 하셨어요. 그래도 출근때 좀 편해지고자 구입!- 흉터연고(벤트락스겔) : 람스는 절개가 아니라서 흉거의안진다던데 그래도 뭔가 관리하는느낌을 주고싶어서 구매해놨어요.- 메디폼 : 거즈떼고 붙일랬는데, 간호사쌤이 붙이지말라하셨어요. 붙였다가 괜히 고생하신분들이 몇분 있으셨다고, 그냥 건조만 잘 해주라고 하셨네요.이정도인것 같아요ㅎㅎ또 생각나는거 있으면 추가할게요^^람스 전이시거나 고민중이신분께 도움되길 바라용!"
11,333603,2020.12.31. 07:02,나요니,mpl주사 스테로이드,스테로이드 들어간거는 맞으면 어떤면에서 안조은가요? 스테로이드 엄는거보다 잇는게 효과가 더 조은거 아니에여? 궁금하여요! 고수님들 알려주세욧
12,333579,2020.12.30. 22:51,YELIA,람스 후 용액흐름,"안녕하세요 오늘 5시에 람스 예약하고 팔 무한람스 받고 왔는데 끝나니까 7시 정도 됬어요,, 왼쪽팔에서 용액이 너무 많이 흘러서요... 아직도 계속 나오는데 이게 이래도 되나 싶을정도로 많이 나와서요 정상인가요?? 좀 어지럽기도 해요ㅠ̑̈ㅠ̑̈ 상담시간 끝나서 전화도 안되구요ㅜㅜ 혼자 있어서 더 무서워요ㅠㅠ̑̈ㅠ̑̈"
13,333576,2020.12.30. 22:20,갸걈,허안+승마 보통 몇 cc정도 뽑는걸까요ㅠ? (+주사 당일후기),오늘 지팻하고 왔는데요. 보통 총액(섞인상태로 시간지나면 지방층 수액 분리되서 노란부분이 순수지방으로 많아도 40~30%정도)이 얼마나오셨나요ㅠ?허안+승마해서 총액이 천cc정도인데(순수지방이라고하면 최대 400cc가 고작이겠죠?) 아무래도 주사는 지흡에 비해 뽑는량이 적는거 + 360도 아닌거 감안해도 너무적은거아닌가ㅠㅜ 라는 걱정이들어서요.. 163cm 51kg 시술전 벅지53.5cm 마른비만이라 허벅지 안쪽에 살이 매우많고 승마는 많이 심하진않은데(무릎쪽은 원래 살 많은편은 아님) 이왕하는거 둘레하고싶어서 돈추가해서 승마까지했는데ㅜㅜ시간도 고작 1시간?이구ㅜㅠ 원래 1~1시간반걸리신다는디ㅠㅜ그래서 그런지 처음하는 주사인데 심하게 아프진않았어요 카복시에비하면뭐...정말 죽을듯이아픔...ㅋㅋㅋㅋ 팔 지흡수술(360도 팔전체. 4cm 감소 뼈팔비스므리힌느낌이라) 완전 만족했는데 수술은 좀 부담스러워서(진짜 개아파요 오늘한 지흡은ㅋㅋㅋ 애교임) 주사시술한건데 좀애매하네용ㅠㅠ지흡당시엔 실제로 못봐서(수면마취다보니) 700cc라는데 이게 총량인지 순수지방인지(생각해보면 총액일거같기도하구요... 이때 4cm정도 줄었거든요)는 모르겠지만 그래도 팔이랑 허벅지랑 3배넘는 부피일텐데 150cc정도 차이나는건 좀 적은거아닌가싶어서ㅜㅠㅠ 걱정중입니다ㅠㅜ다들 얼마나 뽑으셨나요ㅠ?+ 압박복은 바로 입고있다가 잘때도 입는게좋을까용??+ 열감이 느껴지는데(극심한 고통x) 이거 원래이란거죠ㅠㅠ?
14,333575,2020.12.30. 22:01,신클래식,팔람스하고.. 기대서 움푹 들어갔는데요,팔람스한지 5일됐는데세면대에 기대고 코피지짜다가... 팔꿈치쪽이 세면대 기댄 부분만큼 움푹 들어갔어요ㅜㅜㅜ부기때문에 부엇던 부분인거같은데이거 다시 회복되나요?ㅜㅜ
15,333560,2020.12.30. 18:11,온니언니,허안쪽 2cm줄었어요~,"운동으로 너무 안빠지는 거 같아서람스랑 소다팻 알아보다가21일 허안쪽  소다팻받앗어요아직 뭐 2주차에 접어들어서 좀 더 두고봐야 하는데허벅지 재보니현재 2cm줄었어요너무 맘에들어용지금 앞벅지랑 뒤에도 더 빼고싶어지네여 ㅎㅎㅎ지방흡입은 무섭고 빠른 효과, 회복 하기엔 지방추출이 나은것 같아요"
16,333519,2020.12.30. 10:40,ililllilil,얼굴 지방분해주사 이번에 맞은게 역대급이네요,"제가 진짜 어릴때부터 얼굴에 살이 많아서 정말 동글동글한 얼굴형이 였거든요근데 어릴때는 누구나 젓살이 있잖아요 그래서 저는 나이먹으면 이게 슬슬빠지면서 갸름하질꺼다라는 말만믿고 있었어요... 근데 20대 초반까지도 그렇게 빠지는 그낌이 없다가중반에 들어서기 시작하니까 지방이 없어지는게 아니라 처지시 시작하더라구요특히 눈에 띄는부위는 정면에서 봤을때 입술이랑 앞턱 양옆으로 처지고 불룩한 불독살과 턱라인이였어요그래서 리프팅시술도 많이 받고 윤곽주사도 엄청 많이 받아봤어요근데 뭐를 해도 그렇게 눈이 띄는 효과가 없더라구요실리프팅이나 울쎄라 몇몇 윤곽주사중에서 쫌 효과가 보이는 애들도 있었는데 진짜 얼마안갔어요 ㅠㅠㅠㅠ거기다가 언제 한번은 스테로이드 들어 있는윤곽주사 잘못맛고 부작용 때문에 고생한적도 있어요 ㅠㅠㅠ그래서 한동안은 정말 얼굴지방흡을 할까 생각도 하고 발품도 팔았었어요 ㅠㅠ지방흡입은 지방을 아예 뽑아서 없애는거라 원래 상태로 잘 안돌아온다고 해서 이부분이 너무 좋아보이더라구요근데 상담을 받으러 다니면서 느낀건데 제가 피부도 얇고 탄력도 없어서 지흡해서 엄청 잘될것같지다고 않고무엇보다 수술하면 마취도해야하고 멍이랑 붓기같은거 생기니까 몇일 회사도 쉬어야 하잖아요 주사 시술보다는 아프기도 하고요 ㅠㅠㅠ 저는 보톡스 주사 맞을때도 엄청 긴장해가지고 가끔 쓰러지기도 했거든요ㅠ그러다 우연히 인★그램에서 맨날 찬앙하는 엄청 예쁜 저의 최애 여신님이 어디병원에 윤곽주사 올린걸 보게 됬어요그거로 보고 혹해서 그 윤곽주사 정보를 엄청 알아봤죠 근데 후기도 괜찮고 스테로이드도 없고 때마침 이벤트도 하고 있는거에요?! 운명이다! 이거고 예약잡았죠저는 코로나때문에 신경쓰여서 대중교통말고 제 차로 운전해서 갔는데, 발렛이 줘서 갠적으로 좋았어요병원도 엄청 깔끔하더라구요 여기가 유튜브에서 쳐도 많이 나오는곳인데 거기서 보니까 확장이전을 했다고 하더라구요요즘 코로나때문에 문닫는 병원들도 많다는데 확장이전도 하고.. 진짜 실력있는데는 역시 이런거에 영향을 안받는듯..아 암튼 이전한지 얼마안되서 그런지 전체적으로 최적하고 분위기도 좋았어요상담받으러 들어 갔는데 저 진료랑 주사 놔주신 원장님이 정말 착하고 성격도 온화하고설명도 조근조근 잘해주셔서 좋았어요 정말 얌전해 보이는 스타일 이셨는데, 자기도 이 주사 맞고 효과많이 봤다고하면서 본인 전후 사진을 보여주는거에요?! 와웃... 신기.. 진료실에서 원장님 전후사진보는건 처음..ㅋㅋ제가 사실 상담할때 엄청 이것저것 질문을 많이 하는편인데(전에 스테로이드 부작용으로 고생한 이후 생긴 고질병..)설명도 잘해주시고 제질문에 한번도 귀찮다거나 하는거 없이 전부 친절하게 알려주셨어요그리고 주사도 진짜 하나도 안아프게 잘놔주셨어요 제가 얼굴에 여기저기 살이 많아서 좀 여기저기 찌를때가 많은거같아서 걱정했는데 부위따라 다르긴 했느데 어떤 부위는 바늘 들어가는 느낌도 안날정도였어요 그리고 또 좋았던게 보통 주사는 1인실에서 맞지만 관리는 1인실 아닌경우가 많잖아요근데 여기는 매번 갈때마다 전부 1인실 이였어요 관리도 막 대충해주는 그런게 아니라따뜻한걸로 어러번 막 문질러주고 빨간빛도 쬐주고 팩도 해주고 하는데 이런거 마사크 벗고 해야되서 정말 찝찝하잖아요 근데 여긴 그런거 걱정할필요없이 프라이빗해서 좋았어요효과도 정말 좋았어요 멍이랑 붓기도 안생기는데 이렇게 빨리 효과볼수 있다니 너무 신기했어요전에는 5번 정도는 맞아야 효과가 보이기 시작하는데 여기는 3번?정도 맞으니까 주변에서 너 난리더라구요살빠졌다 소리는 기본이고 제가 주사 맞는거 아는친구들은 다들 어디서 맞냐고 엄청 물어봐요이거는 지방세포가 파괴되서 없어지는 거라서 살이 너무 확! 심하게 찌지만 않으면영구적으로 효과있다고 했는데 지금상태로 계속 유지된다고 생각하니 너무 행복하네용!"
17,333344,2020.12.28. 14:50,이번생엔,하벅지무한람스 6주차인데 더 빠질거같나요?,전 / 6주둘레 3.5센치 정도 빠졌는데 많이 빠진건가요?복부는 17.5센치 가량 빠져서 ㅋㅋㅋㅋ허벅지는 어느정도 빠져야 잘빠진건지 감이 안오네용눈바디로 볼때는 비포보다 허안승마 둘다 확실히 많이 빠진거같은데 둘레로는 적게빠진거 같기두하고ㅠㅋㅋ이정도면 잘빠지고 있는거 맞나용?
18,333337,2020.12.28. 11:29,하하하하하,럽핸 무한람스,붓기 언제 빠지나요? 열감도요   ㅠㅠ 
19,333300,2020.12.28. 00:22,세진,바본 언제부터 나타나나요?,10일날 지팻으로 팔뚝 뒤뽈록 용량 700 썰었는데당일에 용액 모두 나온 것 같고 멍도 오늘보니 다 없어졌어요바본이라고 울퉁불퉁하고 딱딱한게 잡힌다고들 하시던데 전 왜 안그렇죠?ㅜㅜ바본이 풀어지면서 변화가 생긴다던데 바본 안생기면 효과가 덜한가요?식이 운동 아무것도 안하고 기지개 펴는 걸 좋아해서 스트레칭만 했어요후관리도 안받았고요..;;지금은 만지면 시술 안한듯이 원래 제 살 느낌나고 말랑말랑해요28센티였는데 오늘 재보니 26센티이고 라인 변화도 느껴져서 효과는 나타나는 것 같은데바본은 필수로 겪는 일이라 하시는데 전 없어서 궁금하네요
20,333289,2020.12.27. 21:51,fast9,지흡주사 18주차 돌입!! 올해 가장 잘한일은 지흡주사 시술받은거네요 ㅎㅎ,"안녕하세요올해는 어떻게 갔는지, 마스크만 쓰다가 일년이 다 갔네요... 밖에도 못나가니 연말 분위기 느낄 틈도 없지만 그래서 오히려 제 자신에게 집중할 수 있었던 한 해였던것같아요.올해 가장 잘한점을 뽑자면 무조건 전 지흡주사 받은거라고 할래요 ㅎㅎ그런데 가족도 모르게 몰래 진행한거라 어디 자랑하고 말 할 데도 없고 카페에서 후기로나마 글을 남기게 되더라구요 ㅎㅎ절대 빠질것같지 않던 팔뚝이 얄쌍해지면서 너무 신기했고 지난 몇년간을 다이어트해보겠다고 투자한 돈만 다 모아도 살 쉽게 뺄 수 있겠다 싶더라구요..ㅎㅎㅎ수술도 아니고 시술이라 두렵지 않았고 카페에서 후기 읽어보면서 도움을 받았기 때문에 저도 누군가에게 도움이 될까해서 시작한 글이 벌써 18주차나 됐네요 ㅎㅎ헬스장 필라테스 아무것도 못하고 집에서만 있기 답답해서 이리저리 홈트도 시작하게되었는데 시술 도움 없었으면 정말 올해도 실패한 다이어트했을것같아요올해도 4일정도 남았는데 다들 새해 다이어트 계획 있으실까요..? 전 새해에는 복부 지흡시술을 할까 고민중이에요!!! ㅎㅎㅎ그래도 양심상 1년에 한부위만 해야할것같아서...ㅎㅎㅎ "
21,333265,2020.12.27. 10:53,요미별,람스 후~,"어제 무한 허벅승마 람스했네요~저보고 잘 참는다고 하시더라고요~약물 들어갈때 좀 아픈데 아무 소리없이 잘 참긴했죠ㅎ눈 감는데 살짝 촉촉한 안구의 느낌~지방뺄때는 아무 통증 없었고요.유쾌한 대화나누면서 하니 즐겁게 시간이 빨리 지나갔어요.허벅안쪽만 14보틀 승마왼4 승마오3..아주 많이도 나왔죠ㅋ전 가슴할때도 멍이 거의 없어서 이번에도 멍 별루 안 생길거라고 생각했는데..멍이 바로 어제 저녁부터 꽤 생겼어요.멍, 붓기 빨리 빠져야될텐데~~시술때는 하나도 안 무서운데 시술후가 전 더 무섭네요. 걸음걸이나 앉거나 눕는 자세에서도 조심조심ㅎ 잘 때도 신경쓰니 복근에 힘이 빡ㅡㅎ담주토는 또 복부무한인데 빨리 받고 후관리 잘해서 언능 라인 느껴보고프네요!!"
22,333146,2020.12.25. 16:04,아리아릿,지팻후기,12월 24일이 지팻주사를 맞고왔는데 저는 진짜 세상 이런 아픔이 없엇을정도로 너무 아파서 1시간30분이 시술시간인데 그만큼 오열하면서 시술받고 나왔습니다..처음에 뭐 마취주사야 살짝 따끔한 정도였지만 캐뉼라 집어넣어서 지방분해주사 넣을때 진짜 살과 가죽이 분리되는 느낌 그리고 무릎뼈쪽에 캐뉼라 사면이 닿을 때 모든 부분을 포함해서 너무 아파서 울고 덜덜 떨고 그러고만 나왔어요ㅠㅠ 그리고 지방을 불리는 그 시간동안 또 노래도 안나오고.. 세상 너무 아파서 지방 뺄때도 저는 너무 아파서 울고만 나왔습니다.. 제가 어제 한말이 다시는 안받으러 올거다 너무 아프다 악 으악 으아악 아파요 아파 이거밖에 없었어요.. 저처럼 통증에 매우 예민하신 분들은 수면마취도 안해준다네요.. 수면 마취를 해도 고통은 다 느껴지고 오히려 깨운다네요..꿀팁: 정신 멀쩡할때 다x소나  이x트 노xx드 가셔서 방수밴드 많이 사두세요! 꼭 필수입니다 / 그리고 병원에서 거즈랑 테이프를 많이 챙겨주지 않아요 많이 챙겨달라고 해도 안주십니다 꼭 미리 받기 전에  거즈랑 테이프 사두세요!!
23,333129,2020.12.25. 10:14,음,11일차 마사지 받았다,본인 기록용!마사지 받으러 간 이유1. 멍이랑 바본 푸는데 마사지가 좋다길래2. 병원에서는 팔꿈치까지만 후관리 해줘서....3. 손이 전체적으로 멍 들어서.. 팔에 내 살색이 안 보여서..사설 마사지샵은 병원 후관리 끝나고 몸상태 보고 가려고 했는데.. 팔꿈치 밑에는 시술 안했다고 후관리 안해줌 ㅠㅠ(마사지샵에 이야기했더니 원래 부위가 따로라서 돈 따로 받는건데 샵에서도 서비스로 해주는 것 뿐이라 함.)하루만에 뭐 효과 있겠어?하고난 뒤 : 오~ 좀 편해졌는데~자고난 뒤 : 마사진 왜 사진 안 찍어뒀지!!!!!12.24까지도 위와 비슷한 상황이라ㅎㅎ;; 굳이 더 안 찍었음감격함.... 마사지.. 돈값한다..
24,332916,2020.12.23. 13:43,베니뽀리,복부 무한람스 2주차 후기!,언제 2주가나했는데 벌써 2주차네요^^오늘 후관리인 체외충격파+메조+리포덤 받고와서 오른쪽사진이 붉네요🥲하고낫을땐 후회해서.. 갠히햇다 그냥 살걸...근데 변화하는 복부에 너무 놀랍습니다ㅋㅋㅋ특히 옆에서 봤을때가 많이 바껴서 저도 놀랬어요.통자배였는데 이제 라인도 생기고 앞으로 관리 더 잘해서 유지 잘해야겟어요ㅠㅜㅜ구나저나 술이 너무 땡기네요...ㅋㅋㅋㅋㅋㅋ술쟁이가 술을 못먹으니 미치겟어여..저는 살을 마니뺏엇어도 뱃살은 탄력없이 쳐져잇는게 싫어서 무한람스를 받앗습니다!만족해요!! 텅장이되었지만요🥲몸무게는 딱 1키로 빠졌구요사이즈는 1.7cm 줄엇어요간호사언니들이 굉장히 빠르게 빠졌다고 하셨어요!기분좋은 하루네요ㅋㅋㅋ또 다른데가 하고싶지만.. 총알을 준비해서 여름되기전에 팔부위 하고싶네요^^*
